Generator,Label,Image_Path,Caption_ID,Full_Text,Min_Prob,Avg_Prob,Word_Prob_Details
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030576.JPEG,1,they were collected on display for the camera from all three sides,0.009,0.14,they(0.02) | were(0.03) | collected(0.01) | on(0.05) | display(0.66) | for(0.04) | the(0.36) | camera(0.01) | from(0.01) | all(0.01) | three(0.02) | sides(0.19) | [SEP](0.39)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030576.JPEG,2,three display cases with a feather and different types of type of writing,0.0076,0.3994,three(0.02) | display(0.03) | cases(0.83) | with(0.33) | a(0.28) | feather(0.78) | and(0.32) | different(0.01) | types(0.17) | of(1.00) | type(0.01) | of(0.74) | writing(0.28) | [SEP](0.79)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030576.JPEG,3,ang white feather on display with small numbers and picture around it,0.0095,0.349,a(0.05) | ##ng(0.02) | white(0.05) | feather(1.00) | on(0.10) | display(0.75) | with(0.29) | small(0.02) | numbers(0.36) | and(0.45) | picture(0.02) | around(0.01) | it(0.77) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030576.JPEG,4,clock has four letters on each of it and a feather - like item,0.0091,0.3094,clock(0.03) | has(0.03) | four(0.07) | letters(0.02) | on(0.44) | each(0.17) | of(0.16) | it(0.45) | and(0.45) | a(0.75) | feather(0.95) | -(0.01) | like(0.73) | item(0.08) | [SEP](0.31)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030576.JPEG,5,artifacts displayed on the wall of a museum of old fashioned things,0.019,0.3778,artifacts(0.02) | displayed(0.23) | on(0.56) | the(0.02) | wall(0.64) | of(0.39) | a(0.79) | museum(0.94) | of(0.07) | old(0.11) | fashioned(0.08) | things(0.06) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030576.JPEG,6,brown case with items on display in a museum display,0.0212,0.2695,brown(0.02) | case(0.02) | with(0.55) | items(0.03) | on(0.39) | display(0.45) | in(0.14) | a(0.07) | museum(0.75) | display(0.16) | [SEP](0.38)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030576.JPEG,7,display of a feather and a calligraphy board are hanging on the wall,0.0134,0.4123,display(0.03) | of(0.60) | a(0.17) | feather(0.86) | and(0.15) | a(0.23) | call(0.01) | ##igraphy(0.96) | board(0.09) | are(0.03) | hanging(0.01) | on(0.74) | the(0.31) | wall(1.00) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030576.JPEG,8,"a branch of a feather is in a display case, with letters and numbers",0.0139,0.4084,"a(0.05) | branch(0.02) | of(0.90) | a(0.82) | feather(0.73) | is(0.15) | in(0.02) | a(0.50) | display(0.61) | case(0.61) | ,(0.05) | with(0.34) | letters(0.01) | and(0.35) | numbers(0.78) | [SEP](0.60)"
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030576.JPEG,9,mounted feather pen in a glass case on display with small plates and numbers,0.017,0.2603,mounted(0.02) | feather(0.11) | pen(0.03) | in(0.04) | a(0.25) | glass(0.19) | case(0.66) | on(0.11) | display(0.51) | with(0.33) | small(0.02) | plates(0.02) | and(0.28) | numbers(0.35) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00030576.JPEG,10,feather feather quill on display in display case at museum,0.0278,0.4911,feather(0.03) | feather(0.34) | qui(0.28) | ##ll(1.00) | on(0.17) | display(0.92) | in(0.34) | display(0.07) | case(0.93) | at(0.09) | museum(0.86) | [SEP](0.86)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00015681.JPEG,1,curtain hung against the wall with a rope at the bottom,0.0133,0.3953,curtain(0.02) | hung(0.03) | against(0.01) | the(0.30) | wall(0.91) | with(0.28) | a(0.60) | rope(0.62) | at(0.02) | the(0.92) | bottom(0.26) | [SEP](0.77)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00015681.JPEG,2,"bathroom window with white walls, a white toilet, a rope, and two windows",0.014,0.3474,"bathroom(0.02) | window(0.02) | with(0.52) | white(0.05) | walls(0.21) | ,(0.10) | a(0.22) | white(0.05) | toilet(0.87) | ,(0.32) | a(0.28) | rope(0.65) | ,(0.16) | and(0.91) | two(0.01) | windows(0.52) | [SEP](1.00)"
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00015681.JPEG,3,knot wrapped around the ceiling in a bathroom with toilet paper,0.0107,0.2868,knot(0.02) | wrapped(0.01) | around(0.45) | the(0.16) | ceiling(0.01) | in(0.21) | a(0.70) | bathroom(0.61) | with(0.38) | toilet(0.06) | paper(0.27) | [SEP](0.55)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00015681.JPEG,4,these rope is a hanging up in a corner of a room,0.0072,0.361,these(0.02) | rope(0.14) | is(0.52) | a(0.07) | hanging(0.02) | up(0.01) | in(0.21) | a(0.56) | corner(0.49) | of(0.49) | a(0.84) | room(0.32) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00015681.JPEG,5,tangled rope with two knots on a wall of a bathroom,0.0213,0.381,tangled(0.02) | rope(0.81) | with(0.05) | two(0.04) | knots(0.10) | on(0.17) | a(0.40) | wall(0.40) | of(0.05) | a(0.85) | bathroom(0.69) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00015681.JPEG,6,dried up rope hangs from the wall of a corner by a window,0.024,0.4416,dried(0.02) | up(0.06) | rope(0.88) | hangs(0.09) | from(0.51) | the(0.37) | wall(0.27) | of(0.31) | a(0.90) | corner(0.05) | by(0.04) | a(0.76) | window(0.92) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00015681.JPEG,7,there is a small piece of rope and a window in the wall,0.0173,0.4921,there(0.05) | is(0.91) | a(1.00) | small(0.05) | piece(0.04) | of(1.00) | rope(0.94) | and(0.02) | a(0.76) | window(0.17) | in(0.41) | the(0.46) | wall(0.07) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00015681.JPEG,8,tan painted bathroom walls with white walls and roped doorway,0.0189,0.2636,tan(0.02) | painted(0.03) | bathroom(0.19) | walls(0.14) | with(0.74) | white(0.03) | walls(0.17) | and(0.81) | rope(0.20) | ##d(0.04) | doorway(0.04) | [SEP](0.75)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00015681.JPEG,9,suspended rope on a wall that extends to a small window,0.0098,0.3533,suspended(0.02) | rope(0.65) | on(0.16) | a(0.35) | wall(0.50) | that(0.02) | extends(0.01) | to(0.24) | a(0.75) | small(0.04) | window(0.56) | [SEP](0.95)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00015681.JPEG,10,these are some kind of tie up on a wall in a bathroom,0.0075,0.4187,these(0.02) | are(0.46) | some(0.22) | kind(0.13) | of(1.00) | tie(0.01) | up(0.02) | on(0.14) | a(0.62) | wall(0.47) | in(0.28) | a(0.84) | bathroom(0.64) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00004928.JPEG,1,pontiac convertible with its bumper up and hood up parked in the parking lot,0.0187,0.267,pontiac(0.02) | convertible(0.05) | with(0.10) | its(0.03) | bumper(0.03) | up(0.14) | and(0.22) | hood(0.07) | up(0.28) | parked(0.22) | in(0.33) | the(0.15) | parking(0.37) | lot(1.00) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00004928.JPEG,2,pontiac car is pink with purple trims parked outside a house,0.0187,0.2402,pontiac(0.02) | car(0.48) | is(0.11) | pink(0.37) | with(0.21) | purple(0.16) | trim(0.36) | ##s(0.12) | parked(0.06) | outside(0.04) | a(0.12) | house(0.07) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00004928.JPEG,3,older cars parked in a lot next to a building on the side of a road,0.0282,0.4075,older(0.03) | cars(0.08) | parked(0.47) | in(0.35) | a(0.64) | lot(0.33) | next(0.15) | to(1.00) | a(0.36) | building(0.21) | on(0.10) | the(0.24) | side(0.27) | of(0.87) | a(0.17) | road(0.68) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00004928.JPEG,4,automobile parked in a lot with a pink car beside it,0.0102,0.3841,automobile(0.02) | parked(0.49) | in(0.36) | a(0.42) | lot(0.26) | with(0.54) | a(0.19) | pink(0.35) | car(0.29) | beside(0.01) | it(0.67) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00004928.JPEG,5,they are parked next to the curb where there is a pink car,0.0239,0.4639,they(0.02) | are(0.87) | parked(0.33) | next(0.15) | to(1.00) | the(0.07) | curb(0.55) | where(0.05) | there(0.13) | is(0.41) | a(0.77) | pink(0.55) | car(0.65) | [SEP](0.93)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00004928.JPEG,6,these cars are parked on the street side by a curb,0.0219,0.3597,these(0.02) | cars(0.22) | are(0.84) | parked(0.60) | on(0.19) | the(0.77) | street(0.16) | side(0.09) | by(0.07) | a(0.04) | curb(0.32) | [SEP](0.98)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00004928.JPEG,7,violet car with chrome bumper and front grill and white door,0.0076,0.2159,violet(0.02) | car(0.30) | with(0.22) | chrome(0.23) | bumper(0.19) | and(0.29) | front(0.06) | grill(0.37) | and(0.11) | white(0.01) | door(0.04) | [SEP](0.74)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00004928.JPEG,8,there is a old purple and white car parked in the driveway,0.0339,0.4079,there(0.03) | is(0.69) | a(1.00) | old(0.06) | purple(0.09) | and(0.10) | white(0.30) | car(0.86) | parked(0.52) | in(0.31) | the(0.23) | driveway(0.10) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00004928.JPEG,9,someone has a pink car parked on the side of the road,0.0235,0.523,someone(0.02) | has(0.21) | a(0.11) | pink(0.61) | car(0.58) | parked(0.42) | on(0.18) | the(0.73) | side(0.54) | of(1.00) | the(0.83) | road(0.68) | [SEP](0.88)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00004928.JPEG,10,cadillac parked in a parking lot with the front bumper turned toward the left,0.0178,0.3483,cadillac(0.03) | parked(0.21) | in(0.39) | a(0.49) | parking(0.63) | lot(1.00) | with(0.41) | the(0.03) | front(0.33) | bumper(0.14) | turned(0.04) | toward(0.02) | the(0.70) | left(0.03) | [SEP](0.79)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00040237.JPEG,1,gentleman riding a mountain bike up a hill in the middle of the forest,0.0193,0.4704,gentleman(0.02) | riding(0.33) | a(0.52) | mountain(0.13) | bike(1.00) | up(0.05) | a(0.76) | hill(0.28) | in(0.35) | the(0.67) | middle(0.06) | of(1.00) | the(0.56) | forest(0.32) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00040237.JPEG,2,guy riding a motorcycle off the side of a dirt hill,0.014,0.4062,guy(0.02) | riding(0.27) | a(0.52) | motorcycle(0.09) | off(0.01) | the(0.24) | side(0.45) | of(1.00) | a(0.91) | dirt(0.46) | hill(0.36) | [SEP](0.53)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00040237.JPEG,3,blond haired man on dirt bike flying high over a trail,0.0221,0.2962,blond(0.02) | haired(0.14) | man(0.59) | on(0.15) | dirt(0.10) | bike(0.95) | flying(0.03) | high(0.07) | over(0.17) | a(0.33) | trail(0.09) | [SEP](0.92)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00040237.JPEG,4,bicycle rider jumping over obstacles in dirt course during daytime,0.0076,0.2997,bicycle(0.02) | rider(0.72) | jumping(0.10) | over(0.28) | obstacles(0.01) | in(0.46) | dirt(0.05) | course(0.12) | during(0.11) | daytime(0.52) | [SEP](0.91)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00040237.JPEG,5,a blond man on a bicycle rides his bike over a mountain,0.0176,0.328,a(0.03) | blond(0.02) | man(0.51) | on(0.12) | a(0.92) | bicycle(0.10) | rides(0.04) | his(0.02) | bike(0.81) | over(0.20) | a(0.73) | mountain(0.02) | [SEP](0.74)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00040237.JPEG,6,mountainside dirt trail with man on a bike riding over dirt,0.0213,0.2535,mountains(0.02) | ##ide(0.42) | dirt(0.08) | trail(0.16) | with(0.54) | man(0.24) | on(0.40) | a(0.16) | bike(0.37) | riding(0.06) | over(0.11) | dirt(0.13) | [SEP](0.59)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00040237.JPEG,7,neatly dressed motorcyclist does a jump with his bike,0.0117,0.4826,neatly(0.02) | dressed(0.58) | motor(0.03) | ##cy(1.00) | ##cl(1.00) | ##ist(1.00) | does(0.01) | a(0.86) | jump(0.22) | with(0.03) | his(0.52) | bike(0.71) | [SEP](0.28)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00040237.JPEG,8,rides his bike around a pile of dirt on a trail,0.0087,0.4837,rides(0.02) | his(0.12) | bike(0.79) | around(0.04) | a(0.60) | pile(0.01) | of(0.96) | dirt(0.89) | on(0.26) | a(0.87) | trail(0.34) | [SEP](0.91)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00040237.JPEG,9,someone riding a mountain bike is falling off of a dirt bank,0.025,0.3649,someone(0.03) | riding(0.28) | a(0.78) | mountain(0.10) | bike(1.00) | is(0.04) | falling(0.03) | off(0.54) | of(0.35) | a(0.52) | dirt(0.04) | bank(0.04) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00040237.JPEG,10,brightly lit photo of a mountain biker making a jump on a hill,0.0149,0.4738,brightly(0.02) | lit(0.36) | photo(0.12) | of(1.00) | a(0.72) | mountain(0.06) | biker(0.88) | making(0.07) | a(0.91) | jump(0.61) | on(0.30) | a(0.65) | hill(0.01) | [SEP](0.92)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00039650.JPEG,1,light shines through a clear glass lamp on a dark surface,0.019,0.4078,light(0.02) | shine(0.13) | ##s(1.00) | through(0.11) | a(0.54) | clear(0.02) | glass(0.59) | lamp(0.30) | on(0.55) | a(0.84) | dark(0.14) | surface(0.11) | [SEP](0.95)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00039650.JPEG,2,pedestal light fixture with white shade and a green chair,0.0206,0.2264,pedestal(0.02) | light(0.07) | fixture(0.17) | with(0.24) | white(0.17) | shade(0.21) | and(0.14) | a(0.10) | green(0.24) | chair(0.72) | [SEP](0.40)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00039650.JPEG,3,dimly lit table with round lamp in an office,0.0136,0.3033,dimly(0.03) | lit(1.00) | table(0.50) | with(0.52) | round(0.01) | lamp(0.20) | in(0.13) | an(0.02) | office(0.58) | [SEP](0.04)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00039650.JPEG,4,lamps sit on a table with chairs at a room with light coming from the window,0.0257,0.35,lamps(0.03) | sit(0.06) | on(0.88) | a(0.69) | table(0.65) | with(0.24) | chairs(0.10) | at(0.03) | a(0.51) | room(0.05) | with(0.41) | light(0.03) | coming(0.47) | from(0.31) | the(0.40) | window(0.10) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00039650.JPEG,5,lights shining from the underside of a light fixture on a table,0.013,0.4396,lights(0.02) | shining(0.06) | from(0.09) | the(0.25) | underside(0.01) | of(1.00) | a(0.78) | light(0.04) | fixture(0.33) | on(0.59) | a(0.90) | table(0.69) | [SEP](0.95)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00039650.JPEG,6,shadows of two tables and a white table lamp and a green chair in a dark room,0.0195,0.3563,shadows(0.02) | of(0.25) | two(0.06) | tables(0.02) | and(0.44) | a(0.37) | white(0.04) | table(0.28) | lamp(0.69) | and(0.02) | a(0.28) | green(0.25) | chair(0.97) | in(0.08) | a(0.44) | dark(0.20) | room(1.00) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00039650.JPEG,7,##light sitting on the table in front of two green chairs,0.0199,0.5159,##light(0.02) | sitting(0.07) | on(1.00) | the(0.11) | table(0.68) | in(0.37) | front(0.33) | of(1.00) | two(0.05) | green(0.77) | chairs(1.00) | [SEP](0.78)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00039650.JPEG,8,shiny glass lamps on table in a dark room with sunlit windows,0.0166,0.34,shiny(0.02) | glass(0.18) | lamps(0.08) | on(0.19) | table(0.12) | in(0.34) | a(0.12) | dark(0.29) | room(0.94) | with(0.74) | sun(0.02) | ##lit(0.03) | windows(0.69) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00039650.JPEG,9,someones electric light sits on a table in a dimly lit room,0.0084,0.4382,someone(0.03) | ##s(0.08) | electric(0.01) | light(0.08) | sits(0.03) | on(0.88) | a(0.60) | table(0.58) | in(0.36) | a(0.46) | dimly(0.08) | lit(1.00) | room(0.96) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00039650.JPEG,10,there is a lamp that is sitting on a table,0.041,0.5992,there(0.04) | is(0.88) | a(1.00) | lamp(0.18) | that(0.48) | is(0.89) | sitting(0.38) | on(1.00) | a(0.66) | table(0.83) | [SEP](0.25)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00028866.JPEG,1,they have a bottle of themmagaa and the cat on the counter,0.0078,0.2921,they(0.02) | have(0.16) | a(0.58) | bottle(0.45) | of(0.73) | them(0.01) | ##ma(0.04) | ##ga(0.09) | ##a(0.13) | and(0.10) | the(0.07) | cat(0.36) | on(0.05) | the(0.74) | counter(0.36) | [SEP](0.79)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00028866.JPEG,2,dimly lit bottle on wooden table containing bottle of mustard next to green plant,0.0138,0.3753,dimly(0.02) | lit(0.97) | bottle(0.22) | on(0.09) | wooden(0.12) | table(0.41) | containing(0.05) | bottle(0.04) | of(0.82) | mustard(0.01) | next(0.02) | to(1.00) | green(0.02) | plant(0.83) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00028866.JPEG,3,##ood a bottle of apple - vinegar sits on a kitchen counter next to a window,0.0132,0.4902,##ood(0.02) | a(0.37) | bottle(0.71) | of(0.93) | apple(0.01) | -(0.02) | vinegar(0.03) | sits(0.26) | on(0.96) | a(0.88) | kitchen(0.09) | counter(0.91) | next(0.09) | to(1.00) | a(0.92) | window(0.12) | [SEP](1.00)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00028866.JPEG,4,beverage sitting on wooden cutting board next to glass on table,0.0223,0.4069,beverage(0.02) | sitting(0.13) | on(1.00) | wooden(0.08) | cutting(0.24) | board(1.00) | next(0.12) | to(1.00) | glass(0.04) | on(0.06) | table(0.24) | [SEP](0.95)
Glide,real,/home/liangpeng/LYK/dataset/AIGCDetect/AIGCDetect_testset/test/Glide/0_real/ILSVRC2012_val_00028866.JPEG,5,"bottles of hot sauce are on the table, and the table top is unpainted",0.0091,0.3835,"bottles(0.03) | of(0.74) | hot(0.30) | sauce(1.00) | are(0.14) | on(0.27) | the(0.26) | table(0.40) | ,(0.03) | and(0.11) | the(0.12) | table(0.07) | top(0.06) | is(0.83) | un(0.01) | ##pa(0.05) | ##int(0.92) | ##ed(0.93) | [SEP](1.00)"
